Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type
Bug,TM-188,User encounters a Language issue in Error message,Aakash,Siddharth Singh,Medium,Verified,Done,11-09-2023 12:46,12-09-2023 17:17,
Bug,TM-187,Keypad issue in the Numeric field,Aakash,Siddharth Singh,Medium,Verified,Done,11-09-2023 12:37,12-09-2023 17:19,
Bug,TM-185,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,Verified,Done,11-09-2023 11:51,12-09-2023 17:25,
Bug,TM-184,"Data Duplication Issue: Multiple Saves on Repeatedly Tapping ""Save"" Button",Aakash,Siddharth Singh,Highest,Done,Done,05-09-2023 15:48,12-09-2023 17:36,
Bug,TM-183,UI Issue: Infinite Box Length Increase with Long Text Entry,Aakash,Siddharth Singh,High,Done,Done,05-09-2023 11:59,12-09-2023 17:55,
Bug,TM-181,Overlapping Issue(UI): There is an OverLapping of 'Health Condition' & 'Save' Icon,Aakash,Siddharth Singh,Medium,Verified,Done,04-09-2023 14:39,05-09-2023 16:37,
Bug,TM-179,Functionality Issue: Form Submission with Empty Field Using Spacebar,Aakash,Siddharth Singh,High,Done,Done,04-09-2023 11:27,12-09-2023 17:55,
Bug,TM-178,Functionality Issue: Empty Toast Message When User Enters Long Text in the Fields,Aakash,Siddharth Singh,High,Done,Done,04-09-2023 10:53,12-09-2023 18:04,
Bug,TM-174,Functionality Issue: No Edit Icon for Work field,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 15:01,12-09-2023 18:09,
Bug,TM-173,Missing Warning Message Before Deleting Data When user taps on (Divorsed/ Windowed/ Single),Aakash,Siddharth Singh,Highest,Done,Done,02-09-2023 14:56,18-09-2023 12:51,
Bug,TM-172,Functionality Issue: Empty Toast Message When User Enters Long Text in the Fields,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 13:30,18-09-2023 14:46,
Bug,TM-171,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 13:30,18-09-2023 14:58,
Bug,TM-170,"""Date of Marriage"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,02-09-2023 13:28,18-09-2023 15:11,
Bug,TM-169,Dropdown Display Truncation Issue: Use of Ellipsis (...) for Long Values,Aakash,Siddharth Singh,Low,In Progress,,02-09-2023 13:27,23-09-2023 14:54,
Bug,TM-168,Keypad issue in the Text field,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 13:26,18-09-2023 15:17,
Bug,TM-167,Dropdown Display Truncation Issue: Use of Ellipsis (...) for Long Values,Aakash,Siddharth Singh,Low,In Progress,,02-09-2023 12:18,23-09-2023 13:26,
Bug,TM-166,Spelling Issue: Forth Name,Aakash,Siddharth Singh,Low,Done,Done,02-09-2023 12:17,23-09-2023 13:12,
Bug,TM-165,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 12:16,18-09-2023 15:42,
Bug,TM-164,User encounters a Language issue in Dropdown menu,Aakash,Siddharth Singh,Medium,Done,Done,02-09-2023 11:27,23-09-2023 14:30,
Bug,TM-163,Functionality Issue: Form Submission with Empty Field Using Spacebar,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 11:26,18-09-2023 15:42,
Bug,TM-162,Functionality Issue: Applicant's Phone & Email field is not Working,Aakash,Siddharth Singh,High,Verified,Done,02-09-2023 11:23,11-09-2023 11:34,
Bug,TM-161,Functionality Issue: No Edit Icon for Bank Accounts,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 11:06,23-09-2023 17:12,
Bug,TM-160,Overlapping Issue(UI): There is an Overlapping of Multiple Bank Accounts,Aakash,Siddharth Singh,Low,Done,Done,02-09-2023 11:00,23-09-2023 17:01,
Bug,TM-159,Functionality Issue: Form Submission with Empty Field Using Spacebar,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 10:55,18-09-2023 17:51,
Bug,TM-157,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,02-09-2023 10:49,18-09-2023 17:53,
Bug,TM-156,"UI Issue: ""No Data"" Message Not Removed on Clicking ""NO"" Radio Button",Aakash,Siddharth Singh,Medium,Done,Done,02-09-2023 10:49,23-09-2023 14:54,
Bug,TM-155,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,Done,Done,01-09-2023 17:10,23-09-2023 16:59,
Bug,TM-154,Dropdown Display Truncation Issue: Use of Ellipsis (...) for Long Values,Aakash,Siddharth Singh,Low,In Progress,,01-09-2023 17:06,23-09-2023 16:59,
Bug,TM-153,Functionality Issue: Empty Toast Message When User Enters Long Text in the Fields,Aakash,Siddharth Singh,High,Done,Done,01-09-2023 17:04,18-09-2023 17:53,
Bug,TM-152,Functionality Issue: Empty Toast Message When User Enters Long Text in the Fields,Aakash,Siddharth Singh,High,Done,Done,01-09-2023 16:47,18-09-2023 15:40,
Bug,TM-151,UI Issue: Data Overflow Beyond Field After Saving,Aakash,Siddharth Singh,High,Done,Done,01-09-2023 16:46,18-09-2023 15:40,
Bug,TM-149,Language Mismatch Issue Between Display and Saved Data,Aakash,Siddharth Singh,Medium,Done,Done,01-09-2023 16:03,23-09-2023 15:55,
Bug,TM-148,Dropdown Display Truncation Issue: Use of Ellipsis (...) for Long Values,Aakash,Siddharth Singh,Low,In Progress,,01-09-2023 15:10,23-09-2023 15:29,
Bug,TM-147,"""Date of Birth"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,01-09-2023 15:09,18-09-2023 17:55,
Bug,TM-146,"Infinite Expansion Issue in ""Notes"" Field",Aakash,Siddharth Singh,Medium,Done,Done,01-09-2023 14:49,23-09-2023 14:51,
Bug,TM-145,"Data Duplication Issue: Multiple Saves on Repeatedly Tapping ""Save"" Button",Aakash,Siddharth Singh,Highest,Done,Done,01-09-2023 14:43,18-09-2023 11:05,
Bug,TM-144,Functionality Issue: Form Submission with Empty Field Using Spacebar,Aakash,Siddharth Singh,High,Done,Done,01-09-2023 12:22,18-09-2023 17:55,
Bug,TM-143, Functionality Issue: Dropdown menu is not working,Aakash,Siddharth Singh,High,To Do,,01-09-2023 12:20,05-09-2023 17:04,
Bug,TM-142,User encounters a Grammatical Issue,Aakash,Siddharth Singh,Low,To Do,,01-09-2023 11:59,11-09-2023 14:12,
Bug,TM-141,Functionality Issue: Form Submission with Empty Field Using Spacebar,Aakash,Siddharth Singh,High,Done,Done,07-08-2023 18:17,18-09-2023 17:30,
Bug,TM-140,"UI Issue: ""No Data"" Message Not Removed on Clicking ""NO"" Radio Button",Aakash,Siddharth Singh,Medium,Done,Done,07-08-2023 18:14,23-09-2023 14:40,
Bug,TM-139,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,07-08-2023 17:58,18-09-2023 17:30,
Bug,TM-138,"UI Issue: ""No Data"" Message Not Removed on Clicking ""NO"" Radio Button",Aakash,Siddharth Singh,Medium,Done,Done,07-08-2023 17:50,23-09-2023 14:51,
Bug,TM-137,Language Mismatch Issue Between Display and Saved Data,Aakash,Siddharth Singh,Medium,Done,Done,07-08-2023 17:41,18-09-2023 16:58,
Bug,TM-135,"UI Issue: ""No Data"" Message Not Removed on Clicking ""NO"" Radio Button",Aakash,Siddharth Singh,Medium,Done,Done,07-08-2023 17:30,23-09-2023 14:51,
Bug,TM-134,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,07-08-2023 17:29,18-09-2023 17:30,
Bug,TM-133,Lack of Confirmation Message Before Data Deletion,Aakash,Siddharth Singh,Highest,Done,Done,07-08-2023 17:25,18-09-2023 13:11,
Bug,TM-132,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,To Do,,07-08-2023 17:15,11-09-2023 14:14,
Bug,TM-131,"Date Issue: Period specified in the ""Period of Stay"" field does not corresponds to the chosen ""Year"" field",Aakash,Siddharth Singh,Medium,To Do,,07-08-2023 16:56,11-09-2023 14:16,
Bug,TM-130,Truncation Issue: Incomplete Display of User Information,Aakash,Siddharth Singh,High,Done,Done,07-08-2023 16:32,18-09-2023 17:28,
Bug,TM-129,"UI Issue: ""No Data"" Message Not Removed on Clicking ""NO"" Radio Button",Aakash,Siddharth Singh,Medium,Done,Done,07-08-2023 16:26,23-09-2023 14:51,
Bug,TM-128,User encounters a Grammatical Issue,Aakash,Siddharth Singh,Low,To Do,,07-08-2023 16:01,11-09-2023 14:10,
Bug,TM-127,User encounters a Grammatical Issue,Aakash,Siddharth Singh,Low,To Do,,07-08-2023 15:56,11-09-2023 14:16,
Bug,TM-126,Keypad issue in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,07-08-2023 15:55,18-09-2023 17:12,
Bug,TM-124,"UI Issue: ""No Data"" Message Not Removed on Clicking ""NO"" Radio Button",Aakash,Siddharth Singh,Medium,Done,Done,07-08-2023 15:41,23-09-2023 14:52,
Bug,TM-117,No error message for Dropdown field,Aakash,Siddharth Singh,Medium,Verified,Done,17-07-2023 12:02,02-09-2023 12:57,
Bug,TM-116,User encounters an empty Toast message,Aakash,Siddharth Singh,Medium,Verified,Done,17-07-2023 11:07,02-09-2023 12:10,
Bug,TM-98,Absence of Debounce functionality on Save Button,Aakash,Siddharth Singh,High,Done,Done,14-07-2023 15:33,23-09-2023 14:46,
Bug,TM-97,Security issue: Absence of Permission Request page,Aakash,Siddharth Singh,Highest,Done,Done,13-07-2023 16:48,23-09-2023 14:34,
Bug,TM-96,User encounters a Language issue in File Attachment page,Aakash,Siddharth Singh,Medium,Verified,Done,13-07-2023 16:37,02-09-2023 12:43,
Bug,TM-94,User can enter text in Dropdown field,Aakash,Siddharth Singh,High,Done,Done,13-07-2023 16:34,18-09-2023 17:11,
Bug,TM-93,User encounters an empty Toast message,Aakash,Siddharth Singh,Medium,Verified,Done,12-07-2023 13:39,02-09-2023 12:54,
Bug,TM-92,User encounters a Blank Screen issue,Aakash,Siddharth Singh,Highest,Done,Done,12-07-2023 13:38,18-09-2023 14:44,
Bug,TM-91,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,Done,Done,12-07-2023 13:38,23-09-2023 14:33,
Bug,TM-90,User encounters a Language issue in Dropdown menu,Aakash,Siddharth Singh,Medium,Done,Done,12-07-2023 13:38,23-09-2023 14:32,
Bug,TM-87,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Medium,Verified,Done,12-07-2023 13:24,01-09-2023 15:04,
Bug,TM-86,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,Done,Done,12-07-2023 13:12,23-09-2023 15:29,
Bug,TM-85,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,11-07-2023 15:49,23-09-2023 14:52,
Bug,TM-84,Keypad issue in the Text field,Aakash,Siddharth Singh,High,Done,Done,11-07-2023 15:49,18-09-2023 17:10,
Bug,TM-83,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,Verified,Done,11-07-2023 11:52,07-08-2023 11:25,
Bug,TM-82,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:44,07-08-2023 11:23,
Bug,TM-81,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,10-07-2023 16:44,23-09-2023 14:52,
Bug,TM-79,User unable to see Dropdown icon,Aakash,Siddharth Singh,Medium,To Do,,10-07-2023 16:43,07-08-2023 12:20,
Bug,TM-78,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,To Do,,10-07-2023 16:43,05-09-2023 17:02,
Bug,TM-77," Disable ""+"" icon issue When ""No"" Radio Button is selected",Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:43,01-09-2023 12:48,
Bug,TM-75,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:37,07-08-2023 11:21,
Bug,TM-74,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:37,07-08-2023 11:21,
Bug,TM-73," Disable ""+"" icon issue When ""No"" Radio Button is selected",Aakash,Siddharth Singh,Highest,Done,Done,10-07-2023 16:37,18-09-2023 14:39,
Bug,TM-72,Save Button is missing,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:36,07-08-2023 17:15,
Bug,TM-71,User unable to see Dropdown menu,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:36,07-08-2023 17:20,
Bug,TM-70,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,Done,Done,10-07-2023 16:36,23-09-2023 16:03,
Bug,TM-69," Disable ""+"" icon issue When ""No"" Radio Button is selected",Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:35,07-08-2023 12:11,
Bug,TM-68,Save Button is missing,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:35,07-08-2023 17:18,
Bug,TM-67,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:28,07-08-2023 11:19,
Bug,TM-66,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:28,07-08-2023 11:19,
Bug,TM-64,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:27,07-08-2023 11:19,
Bug,TM-63," Disable ""+"" icon issue When ""No"" Radio Button is selected",Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:27,07-08-2023 11:19,
Bug,TM-62,Save Button is missing,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:27,07-08-2023 11:19,
Bug,TM-61,User encounters a Language issue in Dropdown menu,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:26,02-09-2023 12:21,
Bug,TM-60,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,10-07-2023 12:17,23-09-2023 14:29,
Bug,TM-59,Incomplete data displayed on screen,Aakash,Siddharth Singh,High,Done,Done,08-07-2023 15:29,18-09-2023 17:08,
Bug,TM-58,"""Start date of work"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,08-07-2023 15:29,18-09-2023 17:04,
Bug,TM-57,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,08-07-2023 15:29,23-09-2023 14:53,
Bug,TM-56,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,To Do,,08-07-2023 15:28,11-09-2023 10:49,
Bug,TM-55,User encounters a Grammatical Issue,Aakash,Siddharth Singh,Low,To Do,,08-07-2023 15:28,05-09-2023 16:58,
Bug,TM-54,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,08-07-2023 15:28,23-09-2023 14:48,
Bug,TM-53,User encounters a Language issue in Dropdown menu,Aakash,Siddharth Singh,Medium,Verified,Done,08-07-2023 15:26,01-09-2023 14:38,
Bug,TM-51,User encounters a Blank Screen issue,Aakash,Siddharth Singh,Medium,Verified,Done,08-07-2023 10:48,01-09-2023 16:28,
Bug,TM-50,User can enter English text in an Arabic text field,Aakash,Siddharth Singh,Medium,Verified,Done,08-07-2023 10:48,01-09-2023 16:25,
Bug,TM-49,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,08-07-2023 10:47,18-09-2023 15:40,
Bug,TM-48,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,08-07-2023 10:47,23-09-2023 14:55,
Bug,TM-47,"""Date of Birth"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,08-07-2023 10:46,18-09-2023 15:40,
Bug,TM-46,"User encounters an inaccurate Error message (Nationality, DOB)",Aakash,Siddharth Singh,Low,Done,Done,08-07-2023 10:46,23-09-2023 14:53,
Bug,TM-45,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 15:44,04-09-2023 11:35,
Bug,TM-44,User can enter English text in an Arabic text field,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 15:44,01-09-2023 15:32,
Bug,TM-43,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,07-07-2023 15:44,18-09-2023 15:22,
Bug,TM-42,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 15:43,23-09-2023 14:53,
Bug,TM-41,User can submit the form without entering mandatory field,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 15:43,01-09-2023 15:52,
Bug,TM-40,"""Date of Birth"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,07-07-2023 15:42,18-09-2023 15:21,
Bug,TM-39,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,Done,Done,07-07-2023 15:42,23-09-2023 15:31,
Bug,TM-37,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 15:14,23-09-2023 14:53,
Bug,TM-36,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 15:06,23-09-2023 14:55,
Bug,TM-35,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 14:08,23-09-2023 14:54,
Bug,TM-34,Spelling issue : Properity,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 14:01,05-09-2023 16:19,
Bug,TM-33,"No spacing between words ""VisitedCountry"" ",Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 13:01,05-09-2023 16:18,
Bug,TM-32,User encounters a Language issue in Dashboard Header,Aakash,Siddharth Singh,Medium,To Do,,05-07-2023 15:43,26-07-2023 10:13,
Bug,TM-31,User encounters a Language issue in Error message,Aakash,Siddharth Singh,Medium,Verified,Done,05-07-2023 15:19,11-09-2023 10:27,
Bug,TM-30,User encounters a Language issue within Sliding Carousel content,Aakash,Siddharth Singh,Medium,To Do,,05-07-2023 12:37,26-07-2023 10:13,
Bug,TM-28,PlaceHolder Text Issue,Aakash,Siddharth Singh,Medium,Verified,Done,05-07-2023 11:27,07-08-2023 11:43,
Bug,TM-27,Identified content is not being translated to the Arabic Language,Aakash,Siddharth Singh,Medium,Verified,Done,05-07-2023 10:01,04-09-2023 17:13,
Bug,TM-26,Data Truncation Issue,Aakash,Siddharth Singh,Medium,To Do,,01-07-2023 16:17,11-09-2023 10:21,
Bug,TM-25,“Home“ & “Dashboard” tab is not being translated to the Arabic Language,Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 16:17,04-09-2023 17:14,
Bug,TM-24,Entire Login Pg. is scrollable,Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 15:07,07-08-2023 11:43,
Bug,TM-21,User encounters an inaccurate Date-related information ,Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 11:33,02-09-2023 12:15,
Bug,TM-20,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,Done,Done,01-07-2023 10:34,23-09-2023 13:36,
Bug,TM-19,"User encounters a Language issue in ""Required Jobs"" section",Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 10:33,02-09-2023 11:37,
Bug,TM-18,User can enter text in  the Numeric field,Aakash,Siddharth Singh,Medium,Done,Done,01-07-2023 10:33,23-09-2023 13:09,
Bug,TM-17,Spelling issue: Ebadi,Aakash,Siddharth Singh,Low,Done,Done,30-06-2023 16:09,23-09-2023 13:10,
Bug,TM-16,"Word Replacement Issue: ""Christian"" & ""Muslim""",Aakash,Siddharth Singh,Low,Done,Done,30-06-2023 16:08,23-09-2023 13:10,
Bug,TM-15,"Spelling issue: Hindusim, Judasim",,Siddharth Singh,Low,Done,Done,30-06-2023 16:06,18-09-2023 17:57,
Bug,TM-13,Completion percentage is not updated with the progress,Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:04,07-08-2023 11:47,
Bug,TM-12,Absence of the Emirates ID number within the user profile,Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:03,07-08-2023 11:47,
Bug,TM-11,"Entire pg. of ""Access Request"" is scrollable.",Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:02,07-08-2023 11:43,
Bug,TM-10,"""Login"" label within the login button is misaligned.",Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:01,07-08-2023 11:43,
Bug,TM-7,"No space between words ""UAEPASS""",Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 15:55,07-08-2023 11:28,
Bug,TM-6,Overlapping issue of Checkbox icon & Checkbox Label,Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 15:37,07-08-2023 11:27,
